fid;area;MNH_max;genus;species;height;numero;classe;conifere;Intensity_mean;Intensity_stdev;Nbreturns_mean;Nbreturns_stdev
8593;58.0800000013364;9.39453315734863;Celtis;australis;9.92;9;Feuillu;2;1553.53925619835;656.186727377371;1.40840220385675;0.593129565278327
8065;48.6799999997066;9.39514636993408;Celtis;australis;9.77;9;Feuillu;2;1487.57600657354;809.060984880032;1.61216105176664;0.692096487800305
8668;58.9199999991991;9.39649105072021;Celtis;australis;10.08;9;Feuillu;2;1471.71554650373;671.078938850233;1.43516632722335;0.63719215201899
8786;29.6799999996834;9.39721298217773;Celtis;australis;10.65;9;Feuillu;2;2051.46900269542;858.899809327227;1.1900269541779;0.412418740605119
2501;36.1999999993481;9.39947509765625;Celtis;australis;10.19;9;Feuillu;2;1810.32596685083;800.802893261575;1.30718232044199;0.574411363286861
20607;54.5199999998975;9.40305137634277;Celtis;australis;9.75;9;Feuillu;2;1378.84886280264;625.990796677064;1.52677916360968;0.623443070624571
13702;55.1599999995763;9.40359687805176;Celtis;australis;10.31;9;Feuillu;2;1842.14876632801;786.397946594784;1.35631349782293;0.601190203504879
20953;32.3200000013411;9.40483474731445;Celtis;australis;9.73;9;Feuillu;2;1491.10767326733;588.211511042838;1.40346534653465;0.582830131059147
8671;35.6799999998696;9.40582847595215;Celtis;australis;9.8;9;Feuillu;2;1375.95291479821;669.991449666362;1.58520179372197;0.61056162456863
20617;40.4799999993108;9.40654182434082;Celtis;australis;9.58;9;Feuillu;2;1372.49110671937;726.373980131323;1.57114624505929;0.606191270213242
12456;52.160000001532;9.40663146972656;Celtis;australis;10.16;9;Feuillu;2;1677.87116564417;699.382284610838;1.43634969325153;0.609684762493261
1359;71.3600000003678;9.41049194335938;Celtis;australis;9.9;9;Feuillu;2;2314.27930454291;896.523508938113;1.40044868199663;0.613952395595482
5335;41.1599999997625;9.41349792480469;Celtis;australis;9.6;9;Feuillu;2;1586.16132167153;722.138227927189;1.65792031098154;0.820999858231552
11293;41.1599999998324;9.41415405273438;Celtis;australis;11.2;9;Feuillu;2;1749.37317784257;872.233059401129;1.5801749271137;0.753763198034052
5845;23.7599999997625;9.41813468933105;Celtis;australis;9.89;9;Feuillu;2;1945.8063973064;860.580333063709;1.18686868686869;0.422947759980694
13188;25.6000000006286;9.41838836669922;Celtis;australis;11.54;9;Feuillu;2;1581.721875;764.54985785525;1.4578125;0.638431840405652
20306;48.9999999999069;9.41864013671875;Celtis;australis;11.14;9;Feuillu;2;1981.19020408163;824.406610932335;1.39673469387755;0.624131683368257
8478;64.1999999993947;9.41884994506836;Celtis;australis;9.74;9;Feuillu;2;1687.17082294264;844.949412375018;1.5143391521197;0.684104434640321
8311;39.2799999997997;9.41931533813477;Celtis;australis;9.2;9;Feuillu;2;1927.53869653768;877.736645682904;1.40529531568228;0.641958294987707
2310;88.7200000007357;9.42013740539551;Celtis;australis;9.69;9;Feuillu;2;2019.28403967538;910.45152222728;1.27457168620379;0.509506490082698
12340;71.7200000003399;9.42237854003906;Celtis;australis;10.05;9;Feuillu;2;2048.35861684328;792.293706635076;1.36530953708868;0.585053781334244
9825;53.680000001057;9.42467880249023;Celtis;australis;9.88;9;Feuillu;2;2265.59687034277;2519.21380659886;1.44336810730253;0.629145551761901
17525;59.880000000312;9.42476654052734;Celtis;australis;8.6;9;Feuillu;2;1204.27740641711;667.840079341673;1.91911764705882;0.848564860843038
7362;34.8400000005635;9.42514610290527;Celtis;australis;11.97;9;Feuillu;2;1550.17185697809;864.999720245376;1.58246828143022;0.686711500544511
21632;26.3600000003446;9.42780303955078;Celtis;australis;10.0;9;Feuillu;2;1912.23823975721;1194.10837435559;1.36874051593323;0.576994534558871
4545;49.3200000010617;9.43036842346191;Celtis;australis;10.4;9;Feuillu;2;1814.88455284553;965.463275461812;1.41544715447154;0.654382663257188
5156;56.1600000030222;9.43440246582031;Celtis;australis;9.47;9;Feuillu;2;1552.27706552707;823.266855694335;1.71652421652422;0.826543552219464
13297;26.4800000006845;9.43447113037109;Celtis;australis;11.15;9;Feuillu;2;1660.15407854985;796.124001906021;1.56042296072508;0.719897485118575
1860;46.7599999996229;9.43518829345703;Celtis;australis;10.95;9;Feuillu;2;1693.80838323353;726.739384276474;1.4901625320787;0.650154202357044
20304;50.5999999986263;9.43710327148438;Celtis;australis;10.48;9;Feuillu;2;1883.05375494071;879.421612990601;1.500395256917;0.694558068821931
8739;42.1200000002701;9.44484996795654;Celtis;australis;9.86;9;Feuillu;2;1777.34947768281;759.227726155694;1.22507122507123;0.462925705272671
17724;95.8000000004423;9.44776916503906;Celtis;australis;9.74;8;Conifère;1;1731.05636743215;733.033876180739;1.54739039665971;0.723414309396275
7365;35.9200000006426;9.44895362854004;Celtis;australis;11.17;9;Feuillu;2;1742.80803571429;832.85809073961;1.3828125;0.593581096746838
14529;41.8400000018673;9.45032119750977;Celtis;australis;10.28;9;Feuillu;2;1828.96175908222;800.307385061215;1.37858508604206;0.616906724100401
7692;38.3599999996461;9.45068359375;Celtis;australis;9.05;9;Feuillu;2;1866.4413938754;888.803995398232;1.38014783526927;0.632744962228896
8654;31.2000000001863;9.4513988494873;Celtis;australis;10.04;9;Feuillu;2;1458.44871794872;686.497932606294;1.57564102564103;0.637037594478093
17330;49.2799999997299;9.453125;Celtis;australis;9.78;9;Feuillu;2;1550.59415584416;647.902335186309;1.55681818181818;0.711696532206767
8612;61.1199999999441;9.45339107513428;Celtis;australis;9.94;9;Feuillu;2;1735.60994764398;769.162091493106;1.3880890052356;0.582726496813512
12811;39.3200000014575;9.46682739257812;Celtis;australis;10.34;9;Feuillu;2;1966.36927772126;1110.2382040525;1.72227873855544;0.813906405836998
